,mode,time,Ab,A,NT
5199,2,70,1042.6449536961159,0.8591075893918484,6.629834182664698
5200,2,70,1860.4058249154798,0.996240488462512,7.619359292841323
5201,2,70,1294.9294946261475,0.9529165786296525,5.5781528820280055
5202,2,70,61.66825038093505,0.0639790715199412,0.02441436585010849
5203,2,70,1514.3945552477885,0.8839730159203966,13.79072779981035
5204,2,70,1226.6351279715923,0.8155106116536888,6.726871976417528
5205,2,70,2.2784934490402673,0.0005158038948926193,6.168152460959188e-06
5206,2,70,1129.4128393557805,0.7731928905769776,5.890929822902323
5207,2,70,1388.0710288058779,0.9060448183655254,14.4566169829168
5208,2,70,1482.7451130150564,0.9913783921775156,11.882692817570943
5209,2,70,26.79400865252782,0.0334784485791261,0.010234313774758792
5210,2,70,1571.3180206773004,0.9841578973670341,12.856820197960696
5211,2,70,878.5912972172066,0.6853664277167096,5.929883312425711
5212,2,70,612.2003803832757,0.5782900867198957,2.5206836180078556
5213,2,70,28.95446722732586,0.03675281370304615,0.0037016003122569336
5214,2,70,1697.713751532046,0.9939922842855512,5.489055838571997
5215,2,70,671.4897465381094,0.7623348162231852,6.083350317239518
5216,2,70,1608.534132607541,0.971584897497976,8.508353411133644
5217,2,70,942.503551152003,0.8277877148446395,2.759657999115179
5218,2,70,1061.290104001712,0.7785438614787219,3.241601008006674
5219,2,70,1062.7516424645096,0.8295587948711102,9.47631654927362
5220,2,70,2.868620878696402,0.0004648801947779299,4.272740124251318e-06
5221,2,70,1374.8342544550426,0.8012940883449503,4.368537173975359
5222,2,70,1271.60217519077,0.9688601154811762,7.757344294055629
5223,2,70,1328.2909355165493,0.9631060813573669,9.507180461873947
5224,2,70,1364.1310912300792,0.9502995198457032,7.483531864477114
5225,2,70,575.253521462274,0.4324142300171572,2.6269231688832133
5226,2,70,1562.0597199464369,0.9596654874367692,9.156699138698304
5227,2,70,1654.541059483456,0.9868100697299301,16.456415377852867
5228,2,70,1469.8956690714006,0.8452513112245783,8.25649773827431
5229,2,70,19.433015256771387,0.01734391165315142,0.0011513283178851404
5230,2,70,31.069665440469002,0.02883564146526405,0.004859189705249893
5231,2,70,1.4218285450798474,0.0016614008878231333,1.402521586130896e-05
5232,2,70,1506.2766674831432,0.9278578561296943,12.033678828253807
5233,2,70,1244.969959122743,0.8992580579673257,12.290693385206042
5234,2,70,1513.6222510225475,0.9199758607774565,11.806003689936048
5235,2,70,1586.3043602624725,0.975981663769556,8.500612726208363
5236,2,70,1773.230900596557,0.9604560831300405,15.390476027362284
5237,2,70,380.51316320154626,0.23963141659728562,0.754790054958175
5238,2,70,902.7628411568153,0.4829679844566001,3.045112326120608
5239,2,70,1960.5252930406866,0.9873052158529037,21.397189888835182
5240,2,70,1592.0836411168063,0.9624531150035511,10.695043662042185
5241,2,70,6.420329039930791,0.008990171244769552,0.0002879926653356685
5242,2,70,1029.246051296724,0.744532599364574,6.4681921453295415
5243,2,70,812.0428460288897,0.6748232474848044,2.099146169647538
5244,2,70,23.240944664870394,0.01570116404568959,0.0020904370487331604
5245,2,70,580.8365991717309,0.4608780664371753,3.0625298791538222
5246,2,70,905.2805990647965,0.7244904373190082,4.950337908632204
5247,2,70,772.062570355602,0.8803421164709087,4.8591528398606085
5248,2,70,489.18097875991515,0.606229537840741,1.5274009970045341
5249,2,70,1423.428405823876,0.971701038718153,4.870417270231285
5250,2,70,1781.1086246074692,0.9853112174067903,6.932965158467074
5251,2,70,1015.4948665312177,0.9119950015207986,7.966972628651253
5252,2,70,452.4345449612106,0.5538810186936088,1.312670786680883
5253,2,70,1648.4110225876561,0.9842351967786931,7.222621316145497
5254,2,70,1770.5601401440485,0.9952676519673982,6.257785790938148
5255,2,70,1414.493616510242,0.9715481604591166,4.584285657047467
5256,2,70,1473.1756179966883,0.8111114165820078,6.833820533026357
5257,2,70,1413.7079313418728,0.9608411789949513,6.399154054862319
5258,2,70,1234.9540480163414,0.9735003671878842,10.758349233528268
5259,2,70,1250.055207030032,0.8951757669402868,10.696481579725635
