,virus,mode,vmax,IL6max,emax,Q
0,SARS-CoV-2,1,1395.017798892023,948.6116954744106,37.52025208949863,6.8735097745431855
1,SARS-CoV-2,1,43.71509814244072,690.2654009543553,22.384995896367364,8.067951878768222
2,SARS-CoV-2,1,25.511938656194015,737.5018142442415,9.303720826476743,7.9844662635872785
3,SARS-CoV-2,1,14.770729133856058,772.1575670338369,13.65234987501256,7.934954891492061
4,SARS-CoV-2,1,31.423421206129007,915.7098517951772,35.25819747526965,7.700974157442471
5,SARS-CoV-2,1,148.59523527796938,625.3673166823359,11.71132784335236,8.14970387008503
6,SARS-CoV-2,1,47.00410340123468,664.358605033893,23.568789183155793,8.111810234856785
7,SARS-CoV-2,1,115.0685676542848,588.4543077756948,15.174370995660837,8.227232935895929
8,SARS-CoV-2,1,75.5715817473159,704.9291049110988,24.48232717944542,8.035268565904364
9,SARS-CoV-2,1,122.9950768235324,672.9775418484868,11.37168661012423,8.073809144519087
10,SARS-CoV-2,1,113.22262499280629,883.7638991945643,11.408474757380189,7.722723120968928
11,SARS-CoV-2,1,23.160532338657188,743.5269146836665,23.832698099437042,7.982472496541388
12,SARS-CoV-2,1,567.4063390471355,878.3388233762627,10.630674554666736,7.513291012052305
13,SARS-CoV-2,1,16.392351983551205,779.0820485060865,9.282761388746701,7.921996120706478
14,SARS-CoV-2,1,36.70266317528117,845.1166254172836,31.791920317145482,7.808515719214156
15,SARS-CoV-2,1,26.376305578430078,540.7477606987042,12.780936029888887,8.35891968219574
16,SARS-CoV-2,1,27.981630085236166,758.320882875285,7.1685812868684025,7.950044166411598
17,SARS-CoV-2,1,109.06169774917976,844.4824136996664,7.645703830286327,7.773171039825573
18,SARS-CoV-2,1,76.80275163210572,783.8816358927454,16.68238241307585,7.897888186648569
19,SARS-CoV-2,1,74.14705683647324,883.5714135966208,29.74317660289407,7.723598055024479
20,SARS-CoV-2,1,11.650822709078112,831.0373890709275,18.601908011231615,7.838804519597034
21,SARS-CoV-2,1,35.63769730984175,819.9366245565617,14.556995350448334,7.851249717899265
22,SARS-CoV-2,1,36.948356149817734,663.2962998836898,25.156173943717604,8.119999476516115
23,SARS-CoV-2,1,93.72991809387058,830.4590149344616,13.67641269371369,7.814721889544351
24,SARS-CoV-2,1,55.243084056691075,763.4165102854151,16.44519131158693,7.931970142210645
25,SARS-CoV-2,1,41.24701374730088,539.2867445433128,12.166121992334752,8.357281291739525
26,SARS-CoV-2,1,56.70883313326647,822.9668320029449,13.21434025487058,7.830130063558859
27,SARS-CoV-2,1,100.37203610034139,788.6051508521438,11.298717006819986,7.87901706418085
28,SARS-CoV-2,1,1830.9929130876687,870.7343911324284,6.397585534546544,6.821067531613406
29,SARS-CoV-2,1,939.2860141402921,731.0401894896627,12.410513706376117,7.619218932477811
30,SARS-CoV-2,1,30.28556366923537,736.7568850454066,13.725045055003223,7.989960310262339
31,SARS-CoV-2,1,66.89326634982628,689.255454261754,9.678162883897105,8.058737221855106
32,SARS-CoV-2,1,27.610312961985514,993.4141428925939,8.802435074681163,7.582437978585988
33,SARS-CoV-2,1,275.4797248278233,778.927560147982,14.600419672511858,7.821424593446833
34,SARS-CoV-2,1,156.98564769822642,861.4152399890988,5.152183326388912,7.692925276913325
35,SARS-CoV-2,1,165.79745522569235,833.1338851704522,9.488435166230026,7.773866013635951
36,SARS-CoV-2,1,2198.0373801261358,979.1624087658695,5.565379236826079,6.553637313555652
37,SARS-CoV-2,1,34.21316644852461,795.8714073585045,14.947986290988169,7.887282839889998
38,SARS-CoV-2,1,59.71828941881756,985.9613441393516,18.372208930506318,7.577180916850296
