,k_infect,N1,H0,d_If,gamma,mode,vmax,IL6max,Q,emax,H,e
7130,7.718897896638232e-05,1354.0684395182016,14.171717471897653,1.5332244915703395,2.2710366640362576,1,110.97074544992883,631.5322471022324,8.137214507921474,0.000852047633723106,0.9777940743248075,8.33365926722414e-06
7131,0.00011158295577634044,1747.6138383522705,25.644670816155642,1.2508777162112656,6.255403387766698,1,846.2234863595897,779.7138353421325,7.436729237057847,0.6271930462471839,0.7986263482915394,0.00016491762122503327
7132,0.00034584643739144974,379.02125559181945,11.048181057257079,1.4125304573251616,2.0456695282674637,5,13.944912696973347,264.3634656447195,4.8686277433371625,0.0009948701059211544,0.9852736311583262,1.897676117543715e-08
7133,0.00022753717668191344,2848.152996170695,153.2314215001975,0.2696368608333068,26.775819560615798,3,115333.02348090055,11889.527647162293,2.582493711979617,0.901190819196286,0.0015228997007596123,3.1438193833271156e-05
7134,4.6916752175657015e-05,301.04191205312236,72.64916594118993,1.640920877665012,1.683732819834993,1,0.01,20.081586025042665,9.685381320644717,1.6979817449934425e-15,1.0,0.0
7135,2.5665263124925815e-05,1633.163954142687,107.06584336735865,0.08390146004697542,0.3765268645646541,5,0.01,20.033970544704587,9.684656558982471,2.6839542099141327e-23,1.0,0.0
7136,4.255878919620262e-05,6334.28147782454,16.695642759331168,0.25154700295477245,1.1321628829523103,1,2.9925480349070064,282.84567760359585,8.944241184411444,0.0014612976731080503,0.9998002855534024,1.1055936935217729e-06
7137,0.00018987452392801418,802.7888585422064,36.92169840439755,0.15091280648954847,0.8493287016242258,5,279.32202557446374,575.7661975203457,4.170666499268245,0.003440820398714711,0.8229928799169377,6.051120696400329e-05
7138,0.00019553776606110512,718.1912051779802,93.9272391723783,0.751326385740969,9.910394211663023,3,3357.1340242393717,3816.223787012336,4.291174282795664,0.969751019121546,0.4320827628632315,0.005114437357803465
7139,0.0002586389860596972,716.7641677227895,36.30479330779336,0.36288700161931914,2.4423373777458655,2,144.77374593979246,1986.1190160534386,6.309290901358121,0.9971793787686017,0.9089933753778294,0.0018033398536461149
7140,9.692982171927394e-05,762.4652491378971,85.49600589153056,0.5236799696934429,3.308942784241695,5,1587.4753645295675,1672.2398343258742,2.9663628577343393,0.0014814657429425926,0.5751710112041787,2.7959637726383187e-05
7141,0.00019113600351956147,977.7958499317596,125.63581335932487,1.3290025767368119,31.205415486162625,3,84838.49196474697,7010.19644084727,2.8996865415895505,0.9725335496411237,0.0024661751721071915,3.0788285582364496e-05
7142,0.00024352476648328354,1774.0830465111894,20.076389159838968,0.6002971830111206,5.206777171667353,5,15040.647774579857,1002.052872261573,2.4045944089241633,0.5698712271508682,0.011456803017257312,6.191121374287164e-05
7143,7.870159893488382e-05,906.5606954189952,13.344889335027219,0.255699019768548,0.24345824193729718,1,0.01,20.008246267570183,9.685616392090132,2.9539165227686393e-19,1.0,0.0
